,AAPL UW Equity,AXP UN Equity,BA UN Equity,CAT UN Equity,CSCO UW Equity,CVX UN Equity,DIS UN Equity,DWDP UN Equity,GS UN Equity,HD UN Equity,IBM UN Equity,INTC UW Equity,JNJ UN Equity,JPM UN Equity,KO UN Equity,MCD UN Equity,MMM UN Equity,MRK UN Equity,MSFT UW Equity,NKE UN Equity,PFE UN Equity,PG UN Equity,TRV UN Equity,UNH UN Equity,UTX UN Equity,V UN Equity,VZ UN Equity,WBA UW Equity,WMT UN Equity,XOM UN Equity,INDU Index
,Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E)
Dates,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO
6/30/1992,11.4558,11.7284,8.2557,263.9705,42.3423,23.0241,24.7105,#N/A N/A,#N/A N/A,51.938,575.7352,15.3485,19.3305,#N/A N/A,29.7575,18.6235,17.35,23.3339,29.1667,14.4477,31.0638,17.564,7.4743,29.5374,19.6364,#N/A N/A,12.3109,#N/A N/A,36.6041,17.3698,#N/A N/A
7/31/1992,11.1575,11.6023,8.2557,263.9705,40.1316,24.5275,24.7105,#N/A N/A,#N/A N/A,53.136,556.6176,16.0188,21.3283,#N/A N/A,31.25,17.7126,17.8866,24.8336,30.4167,16.686,33.2979,19.3299,7.1712,32.7402,19.6364,#N/A N/A,13.1409,#N/A N/A,36.5196,17.826,#N/A N/A
8/31/1992,10.9785,10.5304,7.7122,263.9705,35.1504,25.2577,23.6809,#N/A N/A,#N/A N/A,56.5813,509.5588,15.5496,21.2743,#N/A N/A,31.9963,17.2065,17.6183,23.3339,30.9375,16.4489,32.8723,17.8503,6.7864,30.3381,19.6364,#N/A N/A,13.4175,#N/A N/A,37.2549,18.0365,#N/A N/A
9/30/1992,10.4215,15.388,7.8259,263.9705,39.7556,21.9305,23.3778,#N/A N/A,#N/A N/A,58.8339,476.4705,16.9023,19.6354,#N/A N/A,28.8256,17.402,17.8576,20.5311,30.9615,18.0682,30.8884,20.3273,11.3943,33.0592,19.6364,#N/A N/A,12.9664,#N/A N/A,38.5621,17.7815,#N/A N/A
10/30/1992,12.1247,15.0363,7.6923,263.9705,37.2671,21.0059,25.3125,#N/A N/A,#N/A N/A,56.9901,476.4705,17.3522,20.8333,#N/A N/A,28.9146,17.9412,17.9667,20.2998,34.1346,17.7273,31.1983,21.7682,10.6072,34.2105,19.6364,#N/A N/A,12.6672,#N/A N/A,37.8505,17.0508,#N/A N/A
11/30/1992,13.2794,16.0914,7.5053,263.9705,46.4286,20.3402,27.2472,#N/A N/A,#N/A N/A,60.1974,476.4705,18.3805,20.9896,#N/A N/A,28.2918,19.2157,17.8139,20.8781,35.8173,18.8319,32.2831,22.3343,11.0945,35.773,19.6364,#N/A N/A,12.5342,#N/A N/A,40.109,16.5984,#N/A N/A
12/31/1992,13.8953,16.8789,8.8268,263.9705,48.8354,10.5784,25.8709,#N/A N/A,#N/A N/A,66.4885,476.4705,17.5758,20.4684,#N/A N/A,29.1812,18.75,17.1383,19.4297,30.7104,18.1223,22.3077,21.4614,11.563,30.9103,19.6364,#N/A N/A,13.9628,#N/A N/A,39.6417,15.9686,#N/A N/A
1/29/1993,13.8372,15.6915,7.7303,263.9705,46.3351,11.0731,27.4502,#N/A N/A,#N/A N/A,59.7477,476.4705,21.5657,17.9226,#N/A N/A,29.5296,18.7019,16.6912,18.0339,31.1151,17.8221,20.3077,19.8642,11.563,35.0543,19.6364,#N/A N/A,14.099,#N/A N/A,37.536,16.0013,#N/A N/A
2/26/1993,12.3256,16.6245,7.5658,263.9705,45.9424,11.7199,26.7734,#N/A N/A,#N/A N/A,58.2569,476.4705,23.5354,17.3116,#N/A N/A,29.5296,19.375,17.9686,17.1964,29.991,15.5043,17.9615,20.7626,11.563,23.981,19.6364,#N/A N/A,15.1548,#N/A N/A,37.464,16.6558,#N/A N/A
3/31/1993,12.4697,9.4962,8.1395,263.9705,46.8586,11.6585,25.5281,#N/A N/A,#N/A N/A,58.0275,476.4705,17.5038,17.3116,#N/A N/A,28.6074,19.8778,18.2937,15.3582,31.0403,16.4431,18.4172,19.6358,11.563,25.4321,19.6364,#N/A N/A,15.6372,#N/A N/A,36.5994,17.9161,#N/A N/A
4/30/1993,12.4092,9.8937,8.8081,263.9705,36.3436,12.0792,23.3769,#N/A N/A,#N/A N/A,48.2905,476.4705,14.4787,17.0588,#N/A N/A,26.5101,18.0921,18.5861,16.0637,28.6913,14.6191,20.1923,19.3406,11.563,26.6667,19.6364,#N/A N/A,14.3457,#N/A N/A,29.805,17.8823,#N/A N/A
5/31/1993,13.7107,10.1145,9.2151,263.9705,47.5771,12.3597,25.2413,#N/A N/A,#N/A N/A,52.7065,476.4705,16.876,17.5,#N/A N/A,27.8523,18.703,18.8576,16.6064,31.0822,15.2954,21.2278,19.3406,11.563,29.5062,19.6364,#N/A N/A,15.1485,#N/A N/A,31.0585,17.7133,12.7098
6/30/1993,27.6224,11.5552,8.6449,72.6942,48.2379,13.7972,22.4627,#N/A N/A,#N/A N/A,49.8575,476.4705,13.4639,16.1765,#N/A N/A,27.2152,17.8636,17.8571,18.9826,28.0255,11.6297,19.0883,207.5,11.563,29.0724,19.6364,#N/A N/A,15.8867,#N/A N/A,29.1086,16.7499,17.9162
7/30/1993,19.4056,11.6895,9.1998,74.6359,38.7127,13.8954,20.6712,#N/A N/A,#N/A N/A,46.8253,476.4705,12.7907,13.9313,#N/A N/A,27.3734,18.7273,17.3611,16.3759,23.5669,11.8671,16.9516,195,11.563,28.5633,19.6364,#N/A N/A,15.9202,#N/A N/A,27.139,16.6232,17.8169
8/31/1993,18.5315,11.6447,9.2582,79.8544,35.6343,14.6423,21.5669,#N/A N/A,#N/A N/A,45.1058,476.4705,15.7283,15.5534,#N/A N/A,27.4525,19.5455,18.1258,17.0443,23.9252,11.6091,17.9487,193.5,11.563,26.81,19.6364,#N/A N/A,17.1577,#N/A N/A,27.4064,16.5916,18.3795
9/30/1993,36.5234,8.7271,10.0458,15.0763,37.3134,15.5653,30.5312,#N/A N/A,#N/A N/A,40.7407,476.4705,14.5726,14.9809,#N/A N/A,25.6061,18.4609,17.039,15.8172,25.6211,9.7192,16.9516,75.3968,11.563,28.2407,19.6364,#N/A N/A,17.1598,#N/A N/A,26.3369,15.8681,14.3438
10/29/1993,48.0469,7.9003,9.8168,17.4618,32.8526,15.4459,34.5751,#N/A N/A,#N/A N/A,40.1266,476.4705,13.0278,15.6599,#N/A N/A,26.2879,20.5071,17.1839,16.5244,24.8835,10.4482,31.4394,86.1111,11.563,28.7551,19.6364,#N/A N/A,17.1261,#N/A N/A,27.0513,15.8378,14.5434
11/30/1993,49.2187,7.686,10.1113,16.2691,36.0577,13.8336,32.1488,#N/A N/A,#N/A N/A,42.0253,476.4705,12.6674,16.2175,#N/A N/A,25.6061,20.863,18.0535,17.6175,24.8447,11.0311,33.5859,90.0794,11.563,29.784,19.6364,#N/A N/A,16.1504,#N/A N/A,29.359,15.2019,14.5567
12/31/1993,46.4844,7.4212,11.8169,13.2638,41.4263,22.3972,30.0416,#N/A N/A,#N/A N/A,40,476.4705,11.8774,16.3321,#N/A N/A,26.0965,19.5205,18.0121,17.3981,23.7832,10.6855,33.6585,77.027,9.1336,30.8435,17.6136,#N/A N/A,15.6001,#N/A N/A,25.641,14.9644,10.3386
1/31/1994,46.4844,7.8719,11.8169,15.5179,39.4022,24.0039,33.3013,#N/A N/A,#N/A N/A,38.2353,476.4705,12.5,15.4653,#N/A N/A,23.9035,20.8048,17.7636,18.4736,25.1106,11.5207,31.5244,80.4054,8.9812,34.7561,19.1406,#N/A N/A,15.0052,#N/A N/A,25.7282,15.7957,10.8848
2/28/1994,46.4844,7.0306,12.7732,16.1513,40.0815,22.3008,33.918,#N/A N/A,#N/A N/A,40.8088,476.4705,13.1705,14.6442,#N/A N/A,24.9269,20.762,17.4531,16.3859,24.3363,12.8412,28.2927,77.5338,8.4477,33.5874,19.3182,#N/A N/A,14.4764,#N/A N/A,27.5485,15.4097,10.4845
3/31/1994,46.4844,8.8257,12.6053,13.6047,37.2283,23.7994,28.3002,#N/A N/A,#N/A N/A,39.951,476.4705,12.5465,13.3865,#N/A N/A,23.0824,18.9583,17.1561,15.0573,24.7085,13.1514,24.3243,76.6071,8.4145,31.6667,17.305,#N/A N/A,13.4452,#N/A N/A,25.1214,15.006,9.901
4/29/1994,46.4844,9.4647,12.6404,13.3021,28.5967,25.1412,28.6381,#N/A N/A,#N/A N/A,38.5321,476.4705,11.3383,14.672,#N/A N/A,23.6506,20,16.9181,14.994,26.9679,13.3065,26.5766,81.25,8.5904,30.7407,17.7577,#N/A N/A,13.4452,#N/A N/A,24.0476,15.006,10.3429
5/31/1994,46.4844,9.4647,13.0267,12.9389,23.3491,24.5763,29.2294,#N/A N/A,#N/A N/A,41.3991,476.4705,11.6171,15.6915,#N/A N/A,22.9403,20.6667,17.6537,15.4369,31.3411,14.899,28.7162,80.5357,8.401,35.6481,18.4889,#N/A N/A,13.8674,#N/A N/A,22.381,14.5585,11.2293
6/30/1994,46.4844,9.0523,15.625,10.0402,22.0519,20.0839,27.9399,#N/A N/A,#N/A N/A,38.6468,25.7675,10.8736,14.6331,#N/A N/A,22.1995,18.629,17.2274,12.0846,27.5333,15.0884,27.8084,17.2735,8.3594,33.7316,16.6021,#N/A N/A,14.26,#N/A N/A,23.0952,14.4821,8.3012
7/29/1994,20.1722,9.316,15.076,10.881,17.6471,21.283,28.5272,#N/A N/A,#N/A N/A,34.7458,27.0833,10.6949,16.041,#N/A N/A,24.2486,17.5,18.489,12.0338,27.4667,15.5303,27.3128,18.0421,8.9063,33.4559,15.5685,#N/A N/A,14.4192,#N/A N/A,23.1481,15.2174,8.5672
8/31/1994,21.6692,9.8872,15.3716,11.5964,20.8508,20.3237,27.6042,#N/A N/A,#N/A N/A,38.3475,30.0987,11.8682,17.1075,#N/A N/A,25.1366,18.2258,19.1851,13.8617,31,16.5064,30.0661,19.7006,9.0104,38.4191,16.4406,#N/A N/A,13.9417,#N/A N/A,22.8009,15.2174,8.9061
9/30/1994,12.9567,10.2659,14.6684,13.3642,23.0042,19.9163,18.803,#N/A N/A,#N/A N/A,35.5932,19.4134,10.733,16.9262,#N/A N/A,25.5921,16.3551,18.9207,14.4203,28.1328,15.0962,17.3246,18.0682,8.8028,35.3333,15.2002,#N/A N/A,14.5725,#N/A N/A,21.6435,15.4078,8.6245
10/31/1994,16.6106,10.3926,14.9235,14.7531,23.3527,21.5311,19.0449,#N/A N/A,#N/A N/A,36.1111,20.8101,10.8421,17.9098,#N/A N/A,26.4474,17.9128,18.9635,14.5218,31.5789,15.609,18.5777,18.9394,9.4529,35.1667,15.2913,#N/A N/A,14.4006,#N/A N/A,21.1712,16.8115,8.6784
11/30/1994,14.3269,10.0124,15.2211,13.3333,25,20.8732,21.1005,#N/A N/A,#N/A N/A,36.7063,19.7626,11.0166,17.5,#N/A N/A,26.9079,17.6791,17.5508,15.1311,31.5163,14.6167,19.3922,18.9394,8.9382,31.6667,14.199,#N/A N/A,13.782,#N/A N/A,20.8333,16.143,8.3033
12/30/1994,10.1706,9.856,18.6255,11.7163,27.2287,17.1965,20.0492,#N/A N/A,#N/A N/A,36.5079,14.6414,12.1899,17.5481,#N/A N/A,26.0101,17.4627,18.022,15.1612,28.8325,17.0767,18.7046,17.8674,9.0587,27.5152,14.6904,#N/A N/A,13.892,#N/A N/A,19.1441,14.9263,7.6534
1/31/1995,10.5971,10.5242,17.7291,10.9458,22.25,17.1965,22.1139,#N/A N/A,#N/A N/A,35.1504,14.3675,13.2395,18.6298,#N/A N/A,26.5152,19.4776,17.6844,16.0063,28.0071,16.2471,19.7942,18.804,9.666,29.5732,15.0117,#N/A N/A,15.1485,#N/A N/A,19.4915,15.3563,7.5954
2/28/1995,10.3675,11.276,18.3765,10.9724,22.5,18.3044,23.2006,#N/A N/A,#N/A N/A,33.7406,14.99,15.2195,18.1891,#N/A N/A,27.7778,19.8507,18.4863,16.8513,29.717,14.9428,20.0363,19.1643,9.8431,26.2195,15.5082,#N/A N/A,14.974,#N/A N/A,20.1271,15.7248,8.1238
3/31/1995,8.2941,11.3066,24.7133,10.5751,25.4167,17.7778,21.7625,#N/A N/A,#N/A N/A,33.2707,12.5962,14.4345,18.0851,#N/A N/A,27.1635,19.6121,18.2194,16.4664,30.5258,15.5146,19.9419,17.7614,9.1575,26.7143,14.3711,#N/A N/A,14.5484,#N/A N/A,21.6102,14.8996,7.7835
4/28/1995,9,11.2661,25.2294,11.1217,24.9219,17.5463,22.578,#N/A N/A,#N/A N/A,30.6985,14.5769,17.4107,19.7568,#N/A N/A,27.9447,20.1149,18.6896,16.563,35.0858,15.9304,20.1453,18.7332,8.8141,20.7143,15.2027,#N/A N/A,15.1344,#N/A N/A,19.7917,15.5413,8.2821
5/31/1995,9.7794,11.5497,27.0069,11.4544,27.3438,18.1944,22.6799,#N/A N/A,#N/A N/A,30.6066,14.3462,19.0901,20.1368,#N/A N/A,29.7476,21.7672,18.768,18.2048,36.3466,14.4991,20.4942,19.2694,9.3178,21.2857,15.7744,#N/A N/A,15.3758,#N/A N/A,20.8333,15.9319,8.5578
6/30/1995,11.8162,10.9031,73.6765,11.2719,31.6016,14.3904,21.6939,#N/A N/A,#N/A N/A,29.8713,11.5246,19.7852,19.6014,#N/A N/A,28.9773,21.4973,17.4894,18.3306,38.9547,15.4412,20.8005,19.3733,9.3454,21.1097,14.9379,#N/A N/A,15.1191,#N/A N/A,22.2917,13.9026,8.4199
7/31/1995,11.4504,11.9507,78.8235,12.3465,32.0402,15.2392,22.8639,#N/A N/A,#N/A N/A,30.8979,13.0702,20.3125,20.7971,#N/A N/A,29.9432,21.2225,17.2985,19.3126,39.0086,16.6131,22.7426,18.5647,9.2505,23.0867,16.0612,#N/A N/A,15.4566,#N/A N/A,21.6463,14.2717,8.6401
8/31/1995,10.9415,12.5327,75,11.7763,37.7155,14.9306,21.8889,#N/A N/A,#N/A N/A,28.081,12.41,19.1797,20,#N/A N/A,29.2045,20.0549,16.6875,18.6579,39.8707,14.7727,22.236,18.6995,10.2941,21.5561,15.9417,#N/A N/A,16.1315,#N/A N/A,20.0203,13.5335,8.4604
9/29/1995,10.7659,13.2121,70.3608,10.211,39.6552,16.0479,21.6905,#N/A N/A,#N/A N/A,28.081,15.2464,17.2636,20.6476,#N/A N/A,30.131,20.1316,17.0975,20.3071,34.9421,17.7233,22.7563,20.1571,10.8909,24.0764,16.3054,#N/A N/A,13.5168,#N/A N/A,20.2236,13.4795,8.8004
10/31/1995,10.4949,12.0956,67.6546,10.0763,39.9485,15.429,21.785,#N/A N/A,#N/A N/A,25.1689,15.7108,20.0215,22.702,#N/A N/A,31.3865,21.5789,17.2109,20.8511,38.61,18.1021,24.4617,21.2042,9.4683,26.17,16.3745,#N/A N/A,14.0123,#N/A N/A,17.4395,14.2491,8.7034
11/30/1995,11.0188,12.6538,75.1289,11.0189,43.3634,16.2954,22.7301,#N/A N/A,#N/A N/A,29.9831,15.6099,17.4427,24.1295,#N/A N/A,33.0786,23.4868,19.821,22.4376,33.639,17.9289,24.7282,22.6113,10.4478,30.9729,17.297,#N/A N/A,13.8746,#N/A N/A,19.3548,14.4356,9.2872
12/29/1995,23.6111,11.6455,68.75,10.271,38.4665,36.7133,22.1352,#N/A N/A,#N/A N/A,32.348,12.7078,14.047,23.0175,#N/A N/A,31.3291,22.7904,20.4992,23.048,30.3633,21.5224,25.5526,21.2276,9.7931,41.4557,16.6447,#N/A N/A,14.1043,#N/A N/A,18.0444,15.4681,8.5479
1/31/1996,20.463,12.9473,68.0921,11.2544,40.4126,36.2762,24.1049,#N/A N/A,#N/A N/A,29.6774,15.0623,13.6719,25.8065,#N/A N/A,31.8038,25.3788,19.9577,24.6254,32.0069,21.5611,27.8848,21.4834,10.0352,39.7943,18.0044,#N/A N/A,14.5261,#N/A N/A,16.9792,15.4923,8.9843
2/29/1996,20.3704,12.9473,71.1623,11.6914,46.1165,38.8986,24.5738,#N/A N/A,#N/A N/A,27.9032,16.9841,14.5575,25.1344,#N/A N/A,34.0717,25.2525,20.1511,23.2233,34.1479,18.5888,26.7187,20.9719,9.9692,41.2975,18.8596,#N/A N/A,13.9461,#N/A N/A,17.7083,15.3475,9.1347
3/29/1996,17.9167,13.4643,76.6593,11.8467,45.0243,33.6078,31.6712,#N/A N/A,#N/A N/A,30.8871,15.3065,14.078,23.899,#N/A N/A,34.0021,24,20.0094,21.1932,32.8424,23.2808,25.794,20.8744,9.7711,36.3905,18.9932,#N/A N/A,12.7533,#N/A N/A,19.2708,15.5773,9.3258
4/30/1996,17.9167,13.2257,72.677,11.1498,43.5924,34.7305,30.7416,#N/A N/A,#N/A N/A,29.3344,14.8072,16.7698,23.9637,#N/A N/A,33.5391,23.9375,20.2792,20.5974,36.0669,25.0716,26.5159,20.8128,9.353,34.6154,18.6971,#N/A N/A,13.4245,#N/A N/A,19.7314,16.2214,9.2692
5/31/1996,17.9167,12.4758,75.4425,11.4329,46.0084,35.7784,30.1218,#N/A N/A,#N/A N/A,31.6563,14.7039,18.6881,25.2267,#N/A N/A,37.8601,24.0625,21.0503,22.0017,37.8185,26.6247,27.2377,21.6441,9.309,32.4704,18.5068,#N/A N/A,12.8824,#N/A N/A,21.3843,16.1737,9.6825
6/28/1996,17.9167,11.7658,28.0145,11.2169,47.584,32.5967,31.3329,#N/A N/A,#N/A N/A,33.4365,14.6233,17.3611,24.75,#N/A N/A,38.1836,22.6942,20.7496,21.3118,35.0219,27.2546,26.2408,21.3738,9.5878,31.3665,18.4887,#N/A N/A,12.9281,#N/A N/A,20.9711,16.7712,9.5351
7/31/1996,17.9167,11.5351,28.4566,10.9065,37.7737,31.9751,27.7199,#N/A N/A,#N/A N/A,29.3605,15.9343,17.76,23.875,#N/A N/A,36.6211,22.5121,20.3125,21.1881,34.3659,27.2878,25.6893,21.079,9.2742,20.9627,18.1069,#N/A N/A,11.9901,#N/A N/A,19.3548,15.8784,9.5322
8/30/1996,17.9167,11.5351,29.0997,11.4031,38.5036,32.5276,28.4051,#N/A N/A,#N/A N/A,30.8866,16.8944,18.8682,24.625,#N/A N/A,39.0625,22.5121,21.4844,21.6416,35.7143,25.9615,26.1029,20.9611,9.2742,23.9907,18.127,#N/A N/A,11.4071,#N/A N/A,21.371,15.7095,9.6827
9/30/1996,17.9167,11.7689,27.8761,11.4726,45.3011,26.4241,31.7423,#N/A N/A,#N/A N/A,33.0669,12.2902,20.4802,24.7585,#N/A N/A,40.7,22.4526,20.9835,22.3513,36.6319,29.2067,27.6661,22.8337,11.0338,27.2059,18.3117,#N/A N/A,12.8394,#N/A N/A,21.2702,15.9483,9.6326
10/31/1996,17.9167,11.9597,28.1342,10.4452,39.3357,27.7426,32.9945,#N/A N/A,#N/A N/A,30.1653,12.7345,23.5783,23.7923,#N/A N/A,40.4,21.0308,23.0105,23.5423,38.125,28.3053,28.9336,23.185,10.8101,24.7549,19.6265,#N/A N/A,12.9198,#N/A N/A,20.9646,16.978,9.8656
11/29/1996,17.9167,13.2956,29.3142,12.0434,43.15,28.27,36.9388,#N/A N/A,#N/A N/A,28.719,15.733,27.2264,25.6643,#N/A N/A,40.9,22.1564,25.1502,26.3611,43.5764,24.3056,31.3374,25.4684,11.7048,28.1863,21.3796,#N/A N/A,13.4827,#N/A N/A,20.0787,18.1274,10.7767
12/31/1996,17.9167,13.8925,27.6299,10.7041,40.4482,15.9705,34.1788,#N/A N/A,#N/A N/A,27.6171,13.8532,22.5754,23.467,#N/A N/A,40.7946,20.8525,23.085,24.0406,43.0339,25.5342,27.7174,24.7126,12.913,22.8426,19.2982,#N/A N/A,13.0717,#N/A N/A,18.0118,17.6577,10.6018
1/31/1997,17.9167,15.337,27.8247,11.042,39.1634,16.3084,35.9583,#N/A N/A,#N/A N/A,25.5814,14.4266,27.9741,27.1816,#N/A N/A,44.8643,20.9677,23.7465,27.5292,53.125,29.0064,31.0619,26.5517,13.7665,24.7462,20.3947,#N/A N/A,13.5764,#N/A N/A,17.7239,18.6712,11.1816
2/28/1997,17.9167,16.0747,26.4286,11.1486,31.2325,15.8477,36.4492,#N/A N/A,#N/A N/A,28.1654,13.1881,24.4612,27.1816,#N/A N/A,47.2868,19.9309,25.6267,27.9084,50.7813,26.7193,30.6438,27.6149,14.8678,25.3173,22.0029,#N/A N/A,13.9549,#N/A N/A,19.6828,17.9955,11.2753
3/31/1997,17.9167,14.1653,23.0972,10.6011,27.0213,15.6813,28.4701,#N/A N/A,#N/A N/A,27.6486,12.4209,19.9319,24.0341,#N/A N/A,42.3295,21.0938,22.8378,24.5351,40.2138,23.0483,27.0585,25.7848,11.9917,25.1984,20.5041,#N/A N/A,11.862,#N/A N/A,20.8022,18.3248,10.2161
4/30/1997,17.9167,15.5847,23.0972,11.7569,26.8274,15.4279,31.9802,#N/A N/A,#N/A N/A,29.9742,14.5344,21.9377,27.8409,#N/A N/A,48.2008,23.9397,23.5135,26.3552,53.2895,20.9108,30.8781,28.1951,12.3845,25.7275,20.6063,#N/A N/A,13.2016,#N/A N/A,20.471,19.2602,11.6214
5/30/1997,17.9167,16.4424,24.6487,12.8963,35.1218,15.7658,31.9314,#N/A N/A,#N/A N/A,30.6569,15.642,21.7049,27.2159,#N/A N/A,51.7045,22.433,24.7973,26.1732,54.386,21.2687,33.0894,30.9137,13.2394,29.8942,21.9005,#N/A N/A,13.64,#N/A N/A,21.558,20.1531,12.9853
6/30/1997,17.9167,16.8947,26.2037,13.5746,34.7978,15.9005,30.1076,#N/A N/A,#N/A N/A,33.5462,15.767,18.5618,28.1114,#N/A N/A,49.6324,21.3772,26.9129,28.8113,47.7788,21.7817,37.3905,30.9759,14.0683,25.6158,21.3918,#N/A N/A,14.3785,#N/A N/A,24.5018,19.8387,14.353
7/31/1997,17.9167,18.9923,29.0432,14.1593,40.2034,17.0161,30.3187,#N/A N/A,#N/A N/A,36.4051,18.4878,24.0347,27.2107,#N/A N/A,50.9191,23.7832,25,28.9331,53.4972,23.2509,37.3123,33.3607,14.4719,28.0788,21.7945,#N/A N/A,13.7508,#N/A N/A,26.4525,20.7258,16.7266
8/29/1997,17.9167,17.6317,26.8827,14.6808,38.0874,16.6532,28.818,#N/A N/A,#N/A N/A,31.8834,17.6355,24.1165,24.7544,#N/A N/A,42.1415,20.9347,23.7137,25.5578,49.9764,19.269,34.6527,29.1804,13.5378,23.9532,20.1192,#N/A N/A,13.7152,#N/A N/A,25,19.7379,15.487
9/30/1997,17.9167,17.8726,61.5113,12.9502,36.9189,17.4764,29.034,#N/A N/A,#N/A N/A,35.2196,18.0473,23.3112,24.3143,#N/A N/A,42.9137,20.9802,23.8402,26.5693,46.1019,19.1336,36.4457,29.2638,15.4474,23.2558,19.8044,#N/A N/A,14.9399,#N/A N/A,25.7923,19.9572,16.6616
10/31/1997,17.9167,17.0267,54.096,12.3049,39.2306,17.4238,29.6191,#N/A N/A,#N/A N/A,35.4299,16.7057,19.4444,24.2089,#N/A N/A,39.7887,19.7412,23.5825,23.7279,45.2962,16.9675,42.9308,28.8136,15.1397,21.5407,17.1149,#N/A N/A,14.8354,#N/A N/A,23.8946,19.1394,15.5772
11/28/1997,17.9167,17.2177,60.0282,11.5096,41.2482,16.8461,34.1881,#N/A N/A,#N/A N/A,35.629,18.6648,19.6023,26.5559,#N/A N/A,44.0141,21.3656,25.1128,25.1403,49.3031,18.3726,44.1444,32.3358,15.1515,24.2151,18.3221,#N/A N/A,16.5766,#N/A N/A,27.1684,19.0031,16.6297
12/31/1997,17.9167,18.78,77.6786,11.1127,39.9928,15.6187,34.0576,#N/A N/A,#N/A N/A,37.5,17.2831,18.1057,27.334,#N/A N/A,45.9483,20.943,21.1501,26.9601,41.1624,14.8113,45.3819,32.71,14.4222,21.9856,17.2951,#N/A N/A,16.66,#N/A N/A,26.8282,18.7692,17.022
1/30/1998,17.9167,17.6095,75.496,10.984,42.6482,15.1749,36.6361,#N/A N/A,#N/A N/A,37.0015,16.312,20.8763,27.7749,#N/A N/A,44.6552,20.6689,21.5206,29.7512,47.5119,15.1179,49.8707,32.1209,15.29,22.677,19.3884,#N/A N/A,16.9461,#N/A N/A,25.561,18.194,16.991
2/27/1998,17.9167,18.951,86.1111,12.5,44.5503,16.4554,38.4841,#N/A N/A,#N/A N/A,39.1488,17.2624,23.1153,31.3278,#N/A N/A,47.3707,24.0132,21.9878,32.368,53.9809,20.8929,53.8649,34.8105,15.5756,26.8529,21.2144,#N/A N/A,16.4312,#N/A N/A,29.6877,19.5936,18.6845
3/31/1998,343.75,19.1352,121.2209,12.2634,46.241,18.7646,35.8268,#N/A N/A,#N/A N/A,41.3727,17.458,21.7444,29.8018,#N/A N/A,52.3226,25.8621,23.4415,31.4852,53.5928,21.0714,62.6965,33.75,20.4415,27.5532,21.6696,#N/A N/A,18.3165,#N/A N/A,32.5723,21.4003,19.6991
4/30/1998,342.1875,21.2585,116.4244,12.681,46.2632,19.3195,41.721,#N/A N/A,#N/A N/A,42.7147,19.4748,22.5104,29.0142,#N/A N/A,51.2669,26.6703,24.2609,29.5538,53.9671,22.7381,71.5802,32.875,19.4381,29.8936,23.1074,#N/A N/A,16.7194,#N/A N/A,31.0201,23.0815,20.2981
5/29/1998,332.8125,21.3887,110.7558,12.2355,47.7632,18.6624,37.9663,#N/A N/A,#N/A N/A,45.6759,19.7269,19.899,28.0742,#N/A N/A,52.9561,28.2866,23.8111,28.7107,50.7859,28.3951,65.9198,33.575,20.3555,27.234,22.0657,#N/A N/A,16.3731,#N/A N/A,33.8575,22.3101,19.91
6/30/1998,28.125,22.8875,297.0833,11.5954,58.1447,21.0285,36.3739,#N/A N/A,#N/A N/A,48.2922,19.0718,22.2598,29.3825,#N/A N/A,57.3825,28.9916,21.403,31.6551,71.2993,30.054,64.3121,35.5713,54.9837,26.0246,20.9751,#N/A N/A,15.8942,#N/A N/A,37.2701,23.5355,19.8523
7/31/1998,33.9461,22.1598,258.75,10.636,54.7143,20.9177,35.768,#N/A N/A,#N/A N/A,45.0269,22.01,25.3566,30.7769,#N/A N/A,54.1527,28.0725,19.4987,29.1848,72.3273,27.4691,65.0888,31.0059,47.3039,23.1557,21.7262,#N/A N/A,15.8071,#N/A N/A,36.2789,23.1436,20.3057
